ts_index,lag_index,sigma
2.0000000000000000e+00,2.1500000000000000e+02,6.0095667994822621e-01
2.0000000000000000e+00,2.1600000000000000e+02,5.9872615483909319e-01
2.0000000000000000e+00,2.1700000000000000e+02,6.0446425009748017e-01
2.0000000000000000e+00,2.1800000000000000e+02,6.0814102601491116e-01
2.0000000000000000e+00,2.1900000000000000e+02,6.2070378852278330e-01
2.0000000000000000e+00,2.2000000000000000e+02,6.2999969381833032e-01
2.0000000000000000e+00,2.2100000000000000e+02,6.3251171006327755e-01
2.0000000000000000e+00,2.2200000000000000e+02,6.2970714306217090e-01
2.0000000000000000e+00,2.2300000000000000e+02,4.5984560352960369e-01
2.0000000000000000e+00,2.2400000000000000e+02,4.6985548975760533e-01
2.0000000000000000e+00,2.2500000000000000e+02,4.6450129766954940e-01
2.0000000000000000e+00,2.2600000000000000e+02,4.5876549414953771e-01
2.0000000000000000e+00,2.2700000000000000e+02,4.7667638992353761e-01
2.0000000000000000e+00,2.2800000000000000e+02,4.8942372633462006e-01
2.0000000000000000e+00,2.2900000000000000e+02,4.8502759414867891e-01
2.0000000000000000e+00,2.3000000000000000e+02,4.7825748948466212e-01
2.0000000000000000e+00,2.3100000000000000e+02,4.8703754123164478e-01
2.0000000000000000e+00,2.3200000000000000e+02,5.0095836336766297e-01
2.0000000000000000e+00,2.3300000000000000e+02,5.0248442089079459e-01
2.0000000000000000e+00,2.3400000000000000e+02,5.1647787448060856e-01
2.0000000000000000e+00,2.3500000000000000e+02,5.0126894220112050e-01
2.0000000000000000e+00,2.3600000000000000e+02,5.1477305900892967e-01
2.0000000000000000e+00,2.3700000000000000e+02,5.2633138781952427e-01
2.0000000000000000e+00,2.3800000000000000e+02,5.3506910162035215e-01
2.0000000000000000e+00,2.3900000000000000e+02,5.2174003660872748e-01
2.0000000000000000e+00,2.4000000000000000e+02,5.3114098819665490e-01
2.0000000000000000e+00,2.4100000000000000e+02,5.6044618334780205e-01
2.0000000000000000e+00,2.4200000000000000e+02,5.6835084759359367e-01
2.0000000000000000e+00,2.4300000000000000e+02,5.6244032287022772e-01
2.0000000000000000e+00,2.4400000000000000e+02,5.8032516551207569e-01
2.0000000000000000e+00,2.4500000000000000e+02,5.9464995511870411e-01
2.0000000000000000e+00,2.4600000000000000e+02,6.0277311892887819e-01
2.0000000000000000e+00,2.4700000000000000e+02,6.2755048744426956e-01
2.0000000000000000e+00,2.4800000000000000e+02,6.1776390125158620e-01
2.0000000000000000e+00,2.4900000000000000e+02,6.4316279636455653e-01
2.0000000000000000e+00,2.5000000000000000e+02,6.6605991627594052e-01
2.0000000000000000e+00,2.5100000000000000e+02,6.7512905385728761e-01
2.0000000000000000e+00,2.5200000000000000e+02,6.8426830975532671e-01
2.0000000000000000e+00,2.5300000000000000e+02,7.0931975377801071e-01
2.0000000000000000e+00,2.5400000000000000e+02,7.3922350826445926e-01
2.0000000000000000e+00,2.5500000000000000e+02,7.4881280706334585e-01
2.0000000000000000e+00,2.5600000000000000e+02,1.3093480571494942e-01
2.0000000000000000e+00,2.5700000000000000e+02,1.1797086188843064e-01
2.0000000000000000e+00,2.5800000000000000e+02,1.2225357199086143e-01
2.0000000000000000e+00,2.5900000000000000e+02,1.4114964782192799e-01
2.0000000000000000e+00,2.6000000000000000e+02,1.3007201243306424e-01
2.0000000000000000e+00,2.6100000000000000e+02,1.1452208311132141e-01
2.0000000000000000e+00,2.6200000000000000e+02,1.0791529598076315e-01
2.0000000000000000e+00,2.6300000000000000e+02,1.2287573229017033e-01
2.0000000000000000e+00,2.6400000000000000e+02,1.3063050245164640e-01
2.0000000000000000e+00,2.6500000000000000e+02,1.2275996056729263e-01
2.0000000000000000e+00,2.6600000000000000e+02,1.3314694975340158e-01
2.0000000000000000e+00,2.6700000000000000e+02,1.4426166101953547e-01
2.0000000000000000e+00,2.6800000000000000e+02,1.5186453279633874e-01
2.0000000000000000e+00,2.6900000000000000e+02,2.0206772672343731e-01
