ts_index,qs_index,u,q
2.0000000000000000e+00,8.0000000000000000e+00,1.0000000000000000e-02,8.2412006501372428e+00
2.0000000000000000e+00,8.0000000000000000e+00,2.0000000000000001e-01,9.0661659613654386e+00
2.0000000000000000e+00,8.0000000000000000e+00,5.0000000000000000e-01,9.5337997358034841e+00
2.0000000000000000e+00,8.0000000000000000e+00,8.0000000000000004e-01,1.0001433510241531e+01
2.0000000000000000e+00,8.0000000000000000e+00,9.8999999999999999e-01,1.0826398821469725e+01
2.0000000000000000e+00,9.0000000000000000e+00,1.0000000000000000e-02,8.0288353338155289e+00
2.0000000000000000e+00,9.0000000000000000e+00,2.0000000000000001e-01,8.8538006450437248e+00
2.0000000000000000e+00,9.0000000000000000e+00,5.0000000000000000e-01,9.3214344194817702e+00
2.0000000000000000e+00,9.0000000000000000e+00,8.0000000000000004e-01,9.7890681939198174e+00
2.0000000000000000e+00,9.0000000000000000e+00,9.8999999999999999e-01,1.0614033505148011e+01
2.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000000e-02,7.9587872557459427e+00
2.0000000000000000e+00,1.0000000000000000e+01,2.0000000000000001e-01,8.7837525669741385e+00
2.0000000000000000e+00,1.0000000000000000e+01,5.0000000000000000e-01,9.2513863414121840e+00
2.0000000000000000e+00,1.0000000000000000e+01,8.0000000000000004e-01,9.7190201158502312e+00
2.0000000000000000e+00,1.0000000000000000e+01,9.8999999999999999e-01,1.0543985427078425e+01
2.0000000000000000e+00,1.1000000000000000e+01,1.0000000000000000e-02,7.8867664820105112e+00
2.0000000000000000e+00,1.1000000000000000e+01,2.0000000000000001e-01,8.7117317932387071e+00
2.0000000000000000e+00,1.1000000000000000e+01,5.0000000000000000e-01,9.1793655676767525e+00
2.0000000000000000e+00,1.1000000000000000e+01,8.0000000000000004e-01,9.6469993421147997e+00
2.0000000000000000e+00,1.1000000000000000e+01,9.8999999999999999e-01,1.0471964653342994e+01
2.0000000000000000e+00,1.2000000000000000e+01,1.0000000000000000e-02,7.9466202458603181e+00
2.0000000000000000e+00,1.2000000000000000e+01,2.0000000000000001e-01,8.7715855570885140e+00
2.0000000000000000e+00,1.2000000000000000e+01,5.0000000000000000e-01,9.2392193315265594e+00
2.0000000000000000e+00,1.2000000000000000e+01,8.0000000000000004e-01,9.7068531059646066e+00
2.0000000000000000e+00,1.2000000000000000e+01,9.8999999999999999e-01,1.0531818417192801e+01
2.0000000000000000e+00,1.3000000000000000e+01,1.0000000000000000e-02,7.9947949157522320e+00
2.0000000000000000e+00,1.3000000000000000e+01,2.0000000000000001e-01,8.8197602269804278e+00
2.0000000000000000e+00,1.3000000000000000e+01,5.0000000000000000e-01,9.2873940014184733e+00
2.0000000000000000e+00,1.3000000000000000e+01,8.0000000000000004e-01,9.7550277758565205e+00
2.0000000000000000e+00,1.3000000000000000e+01,9.8999999999999999e-01,1.0579993087084715e+01
2.0000000000000000e+00,1.4000000000000000e+01,1.0000000000000000e-02,8.1411945772908130e+00
